1500|352394519|Summer Leon|8762494160474687267|Sobre las olas|Music|Card|-1|37.93|2022-01-31T18:40:00|United States|Yavapai|apple.com|12660329400|Y|Payment Was Success
1501|1219617|雨嘉毕|0|Turboion Croc Premium Infrared 1.5-inch Flat Iron Titanium|E-Commerce|UPI|1|167.99|2022-01-31T18:40:00|China|Kaiyuan|http://www.overstock.com/Health-Beauty/Turboion-Croc-Premium-Infrared-1.5-inch-Flat-Iron-Titanium/9438427/product.html?recset=f331b4e5-0fb0-48ba-a189-f85d6d647849&refccid=3HI5BZ3XBANII2KCD4V7JTAB3E&recidx=1&recalg=61&searchidx=1|65402368100|Y|Payment Was Success
1502|1379248128|Alana Vega|3373707|Walmart 2790 Hagerstown|Gas|UPI|9|-1.0|2022-01-31T18:40:00|United States|Fall River|costco.com|75058181300|Y|Payment Was Success
1503|893629|泽瀚钮|2136361358|SEROQUEL XR 150MG 30P.R TAB|Medicine|Wallet|6|436.34|2022-01-31T18:40:00|China|Xiamen|1688.com|96107565800|Y|Payment Was Success
1504|922512|瀚聪庾|1905822645|GLAUPROST 0.05MG EYE DROPS 2.5ML|Medicine|Card|4|125.06|2022-01-31T18:45:00|China|Jincheng|kaola.com|56058061400|Y|Payment Was Success
1505|1686936090|Elba Coffey|1951306126|LONQUEX 6MG/0.6ML SYRINGE PREFILLED|Medicine|UPI|6|14489.36|2022-01-31T18:45:00|United States|Barton|riteaid.com|86015630600|Y|Payment Was Success
1506|1004352|秩选公|952108339860009742|The Sound of Silence - Electric Version|Music|UPI|-1|18.52|2022-01-31T18:45:00|China|Ruichang|aliexpress.com|46210021900|Y|Payment Was Success
1|5|0|7|||7|4|5||1|8|||婧|涵|米|||1|2|8|5|9|7|2|0|3|||O|S|M|O| |A|D|A|L|A|T| |3|0|M|G| |3|0| |S|R| |T|A|B|||M|e|d|i|c|i|n|e|||U|P|I|||2|||6|0|.|8|5|||2|0|2|2|-|0|1|-|3|1|T|1|8|:|4|5|:|0|0|||C|h|i|n|a|||H|u|a|i|n|a|n|||a|l|i|e|x|p|r|e|s|s|.|c|o|m|||9|4|8|1|3|5|1|4|4|0|0|||Y|||P|a|y|m|e|n|t| |W|a|s| |S|u|c|c|e|s|s
1508|905187|漫妮僪|458837463|NORMALOL 50MG 30TAB|Medicine|Wallet|6|72.91|2022-01-31T18:45:00|China|Quzhou|yhd.com|15789965100|Y|Payment Was Success
1509|910565|淑颖施|8263425003908289417|Crash Landing|Music|Wallet|-1|22.32|2022-01-31T18:50:00|China|Wuchang|vip.com|22229830800|Y|Payment Was Success
1510|836096|晧宇弓|1890829999|STALEVO 150/37.5/200MG 30TAB|Medicine|Card|7|462.61|2022-01-31T18:50:00|China|Sihui|aliexpress.com|19739234200|Y|Payment Was Success
1511|849618|松源宫|3373707|Los Angeles Department of Public Works - Baldwin Park Construction Permit Office|Gas|Wallet|4|-1.0|2022-01-31T18:50:00|China|Yushu|aliexpress.com|25148795100|Y|Payment Was Success
1512|705433|可馨农|1259318376|DUPHASTON 10MG 20TAB|Medicine|Wallet|0|0.0|2022-01-31T18:50:00|China|Shangri-La|vip.com|36807464800|Y|Payment Was Success
1513|725123|墨含鲁|2114989728|DIFLUCAN SUSP 50MG/5ML 35ML|Medicine|Wallet|8|348.2|2022-01-31T18:50:00|China|Hezhou|jd.com|67031350000|Y|Payment Was Success
1514|1004352|秩选郭|2884669301062179915|Polly|Music|Card|-1|19.64|2022-01-31T18:55:00|China|Lanxi|kaola.com|51689905000|Y|Payment Was Success
1515|1161630|辰华施|1190179252|Meat live weight- cattle|Groceries|Wallet|8|20.13|2022-01-31T18:55:00|China|Yuxi|alibaba.cn|36485458700|Y|Payment Was Success
